ax,ay,az,gx,gy,gz,mx,my,mz
-0.020,0.021,9.830,-0.04,+0.06,+0.04,31,-71,29
-0.020,0.021,9.830,+0.02,-0.01,+0.04,34,-74,22
-0.020,0.021,9.830,-0.04,-0.01,+0.04,34,-74,22
-0.020,0.021,9.830,+0.02,-0.01,+0.04,35,-65,23
0.057,0.021,9.830,-0.04,-0.13,-0.02,35,-65,23
-0.020,0.021,9.830,+0.02,-0.01,-0.02,32,-74,24
0.057,0.021,9.830,+0.02,+0.06,+0.04,32,-74,24
-0.020,0.021,9.830,-0.10,+0.06,-0.08,34,-70,32
-0.020,0.021,9.830,+0.02,+0.12,+0.04,34,-70,32
-0.020,0.021,9.830,-0.04,+0.12,+0.04,29,-71,27
-0.020,-0.056,9.830,-0.04,-0.07,-0.02,29,-71,27
-0.020,-0.056,9.830,-0.04,+0.12,-0.02,35,-73,27
-0.020,-0.056,9.830,-0.04,+0.12,-0.02,35,-73,27
-0.020,-0.056,9.830,-0.04,-0.01,+0.04,31,-73,29
-0.020,-0.056,9.830,+0.02,+0.06,-0.02,31,-73,29
-0.020,-0.056,9.830,+0.02,+0.12,-0.02,34,-74,26
-0.020,-0.056,9.753,+0.02,-0.01,-0.02,34,-74,26
-0.020,-0.056,9.753,-0.04,-0.01,-0.02,37,-69,31
0.057,0.021,9.830,+0.02,-0.01,-0.08,37,-69,31
0.057,0.021,9.753,+0.08,-0.07,+0.04,32,-74,30
-0.020,0.021,9.830,+0.02,-0.01,-0.02,32,-74,30
0.057,0.021,9.753,-0.04,-0.07,+0.10,30,-70,30
-0.020,0.021,9.753,+0.02,-0.07,+0.04,30,-70,30
-0.020,0.021,9.753,-0.10,+0.12,+0.10,32,-72,28
-0.020,0.021,9.830,-0.10,+0.06,-0.02,32,-72,28
-0.020,0.021,9.830,+0.08,-0.13,-0.02,33,-71,27
-0.020,0.021,9.830,-0.04,-0.01,-0.02,33,-71,27
-0.020,0.021,9.830,-0.10,+0.12,+0.04,35,-71,33
-0.020,0.021,9.907,+0.08,-0.07,+0.04,35,-71,33
-0.020,0.021,9.907,-0.04,-0.07,+0.04,32,-64,34
-0.020,0.021,9.907,+0.08,-0.13,-0.02,32,-64,34
-0.020,0.021,9.907,+0.08,-0.01,+0.04,34,-72,28
-0.020,0.021,9.907,+0.08,+0.06,+0.16,34,-72,28
-0.020,0.021,9.830,-0.16,-0.07,-0.02,32,-72,32
-0.020,0.021,9.907,-0.04,-0.01,-0.02,32,-72,32
-0.020,0.021,9.830,-0.04,+0.06,+0.04,35,-73,31
-0.020,0.021,9.830,-0.04,-0.01,-0.02,35,-73,31
-0.020,0.021,9.830,+0.02,-0.07,+0.04,33,-71,29
-0.020,-0.056,9.830,-0.04,-0.07,+0.04,33,-71,29
-0.020,-0.056,9.830,-0.10,-0.13,-0.08,33,-65,29
-0.020,-0.056,9.830,+0.02,+0.06,+0.04,33,-65,29
-0.020,-0.056,9.830,+0.08,+0.06,+0.04,37,-71,35
-0.020,-0.056,9.830,-0.04,-0.07,+0.04,37,-71,35
-0.020,-0.056,9.830,-0.04,+0.06,-0.08,36,-72,30
-0.020,-0.056,9.830,+0.02,+0.06,+0.04,36,-72,30
-0.020,-0.056,9.830,+0.21,-0.01,+0.04,30,-74,28
-0.020,-0.056,9.753,+0.08,-0.07,-0.02,30,-74,28
-0.020,-0.056,9.753,+0.02,-0.19,-0.02,32,-70,30
-0.020,-0.056,9.753,+0.02,-0.07,-0.08,32,-70,30
-0.020,-0.056,9.753,+0.08,-0.07,+0.04,31,-73,31
-0.020,-0.056,9.753,+0.02,+0.06,-0.02,31,-73,31
-0.020,0.021,9.753,+0.08,-0.01,-0.02,35,-67,31
-0.020,0.021,9.753,+0.02,+0.06,-0.02,35,-67,31
-0.020,0.021,9.830,-0.10,+0.18,+0.04,34,-76,30
-0.020,0.021,9.830,-0.04,-0.01,-0.08,34,-76,30
-0.020,0.021,9.830,-0.04,-0.07,-0.08,32,-70,32
-0.020,0.021,9.830,-0.04,+0.06,-0.08,32,-70,32
-0.020,0.021,9.830,-0.16,+0.06,-0.02,34,-76,28
-0.020,0.021,9.830,-0.04,-0.01,+0.10,34,-76,28
-0.020,0.021,9.830,+0.08,+0.06,+0.04,37,-71,29
-0.020,0.021,9.830,+0.02,+0.12,-0.02,37,-71,29
-0.020,0.021,9.830,+0.02,-0.07,+0.04,37,-71,33
-0.020,0.021,9.830,+0.02,-0.07,+0.04,37,-71,33
-0.020,0.021,9.830,-0.10,-0.01,-0.02,32,-76,28
-0.020,0.021,9.830,+0.02,-0.01,+0.10,32,-76,28
-0.020,0.021,9.830,-0.04,-0.01,+0.04,35,-73,29
-0.020,0.021,9.830,-0.10,-0.07,+0.04,35,-73,29
-0.020,0.021,9.830,+0.08,-0.07,+0.04,35,-71,33
-0.020,0.021,9.830,+0.02,-0.01,+0.04,35,-71,33
-0.020,0.021,9.830,-0.04,-0.01,-0.02,34,-66,28
-0.020,0.021,9.753,-0.04,-0.07,-0.02,34,-66,28
-0.020,0.021,9.753,+0.08,-0.07,+0.04,36,-74,28
-0.020,0.021,9.753,-0.04,-0.07,-0.08,36,-74,28
-0.020,-0.056,9.753,+0.02,-0.01,-0.02,30,-70,30
-0.020,-0.056,9.753,-0.04,+0.06,-0.02,30,-70,30
0.057,0.021,9.753,-0.04,-0.01,-0.02,32,-74,34
0.057,0.021,9.753,-0.04,-0.19,-0.02,32,-74,34
-0.020,0.021,9.753,-0.04,-0.07,+0.04,31,-75,29
0.057,0.021,9.753,-0.04,+0.12,+0.10,31,-75,29
0.057,-0.056,9.753,-0.10,-0.01,-0.08,34,-72,28
0.057,0.021,9.753,-0.04,+0.06,-0.02,34,-72,28
0.057,0.021,9.753,+0.08,-0.01,-0.08,35,-65,23
0.057,0.021,9.753,+0.08,-0.13,+0.04,35,-65,23
0.057,0.021,9.753,-0.16,-0.13,+0.10,37,-71,29
0.057,0.021,9.753,+0.08,+0.06,-0.08,37,-71,29
0.057,0.021,9.830,+0.02,-0.01,+0.10,33,-71,27
0.057,0.021,9.830,-0.04,+0.06,+0.04,33,-71,27
0.057,0.021,9.830,+0.02,+0.06,-0.02,35,-73,31
0.057,0.021,9.830,-0.10,-0.01,-0.02,35,-73,31
0.057,0.021,9.830,+0.08,+0.18,-0.02,36,-74,30
0.057,0.021,9.830,-0.04,-0.07,+0.04,36,-74,30
0.057,0.021,9.830,-0.04,+0.12,-0.02,35,-73,29
0.057,0.021,9.830,+0.08,+0.12,-0.08,35,-73,29
0.057,0.021,9.830,+0.08,-0.01,+0.04,32,-72,32
0.057,0.021,9.830,-0.04,-0.01,-0.02,32,-72,32
-0.020,0.021,9.830,+0.08,-0.01,-0.02,29,-65,31
-0.020,0.021,9.830,-0.10,-0.07,-0.08,29,-65,31
-0.020,0.021,9.830,+0.02,-0.07,-0.02,31,-73,29
0.057,0.021,9.830,-0.04,+0.06,-0.02,31,-73,29
0.057,0.021,9.830,-0.04,+0.06,-0.02,36,-76,28
