seq,gx,gy,gz,ax,ay,az,mx,my,mz
3204,-0.041,-0.086,0.031,0.03,-0.01,-9.77,48,-52,16
3205,-0.102,0.036,-0.091,0.03,-0.01,-9.77,48,-52,16
3206,0.081,0.036,0.031,0.03,-0.01,-9.77,49,-55,7
3207,-0.102,-0.086,0.154,0.03,-0.01,-9.77,49,-55,7
3208,0.020,0.036,-0.030,0.03,-0.01,-9.77,49,-57,13
3209,-0.041,-0.147,-0.030,0.03,-0.01,-9.77,49,-57,13
3210,0.081,0.036,0.092,0.03,-0.01,-9.77,52,-52,10
3211,0.081,-0.025,0.031,0.03,-0.01,-9.77,52,-52,10
3212,0.081,0.097,-0.030,0.03,-0.01,-9.85,49,-51,13
3213,0.081,-0.025,0.031,0.03,-0.01,-9.77,49,-51,13
3214,0.081,0.097,-0.091,0.03,-0.01,-9.85,50,-54,10
3215,0.020,-0.086,0.031,0.03,-0.01,-9.85,50,-54,10
3216,0.020,-0.025,0.031,0.03,-0.01,-9.77,51,-51,5
3217,0.020,0.036,-0.152,0.03,-0.01,-9.77,51,-51,5
3218,0.020,-0.086,-0.030,0.03,-0.01,-9.77,49,-53,3
3219,0.020,0.158,0.092,0.03,-0.01,-9.77,49,-53,3
3220,0.020,0.036,0.092,0.03,-0.01,-9.77,49,-51,7
3221,0.081,0.036,0.154,0.03,-0.01,-9.77,49,-51,7
3222,0.020,-0.025,0.092,0.03,-0.01,-9.77,49,-55,7
3223,0.081,-0.025,-0.030,0.03,-0.01,-9.77,49,-55,7
3224,0.081,-0.086,0.031,0.10,-0.01,-9.77,53,-55,7
3225,0.020,-0.025,0.031,0.10,-0.01,-9.85,53,-55,7
3226,0.081,-0.025,0.031,0.03,-0.01,-9.85,50,-50,12
3227,-0.041,0.097,0.092,0.03,-0.01,-9.85,50,-50,12
3228,-0.041,-0.086,0.031,0.03,-0.01,-9.77,51,-53,11
3229,0.081,-0.025,-0.030,0.03,-0.01,-9.85,51,-53,11
3230,0.020,-0.025,-0.091,0.03,-0.01,-9.77,49,-55,7
3231,0.020,-0.025,-0.091,0.03,-0.01,-9.77,49,-55,7
3232,0.020,-0.025,-0.030,0.03,-0.01,-9.77,51,-49,11
3233,-0.102,-0.086,-0.030,0.03,-0.01,-9.77,51,-49,11
3234,0.020,0.036,0.031,0.03,-0.01,-9.77,51,-55,7
3235,0.020,-0.025,0.031,0.03,-0.01,-9.77,51,-55,7
3236,0.020,-0.025,-0.030,0.03,-0.01,-9.77,44,-52,6
3237,0.020,-0.025,-0.030,0.03,-0.01,-9.77,44,-52,6
3238,-0.041,-0.086,-0.030,0.03,-0.01,-9.77,52,-56,6
3239,0.020,-0.086,-0.030,0.03,-0.01,-9.77,52,-56,6
3240,-0.041,-0.147,-0.030,0.03,-0.01,-9.77,50,-54,10
3241,-0.041,0.036,-0.030,0.03,-0.01,-9.77,50,-54,10
3242,0.020,0.036,-0.030,0.03,-0.01,-9.85,53,-53,7
