nr,time,flyState,ax,ay,az,gx,gy,gz,height_speed,set_h,height,throttle,set_pitch,pitch,set_roll,roll,set_yaw,yaw,motval_0,motval_1, motval_2,motval_3,hor_xv,hor_yv, hor_dt,hor_seqNum,xPos,yPos,targetXVel,targetYVel,targetPitch, targetRoll, adj_pitch, adj_roll, adj_yaw, adj_h
1,946684902.076232,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,946684902.445251,1,0.018393,0.017628,-9.803100,0.122074,-0.047609,0.019532,0.000000,0.000000,0.299540,0.000000,0.000000,0.005029,0.000000,0.000181,0.000000,-0.015281,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,946684902.445983,1,0.018393,0.017628,-9.803100,-0.061037,-0.047609,0.019532,0.000000,0.000000,0.299540,0.000000,0.000000,0.005049,0.000000,0.000191,0.000000,-0.015267,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,946684902.450500,1,0.018393,0.017628,-9.803100,0.061037,-0.047609,-0.041505,3.744250,0.000000,0.299540,0.000000,0.000000,0.004890,0.000000,0.000522,0.000000,-0.015454,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,946684902.450897,1,0.018393,0.017628,-9.803100,0.061037,0.074465,-0.041505,3.744250,0.000000,0.299540,0.000000,0.000000,0.004975,0.000000,0.000602,0.000000,-0.015470,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,946684902.451171,1,0.018393,-0.059012,-9.803100,0.000000,0.013428,-0.041505,3.744250,0.000000,0.299540,0.000000,0.000000,0.005034,0.000000,0.000415,0.000000,-0.015482,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,946684902.451416,1,0.018393,0.017628,-9.803100,0.122074,0.074465,0.019532,3.744250,0.000000,0.299540,0.000000,0.000000,0.005108,0.000000,0.000500,0.000000,-0.015477,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,946684902.451660,1,-0.058248,0.017628,-9.803100,0.061037,0.074465,0.019532,3.744250,0.000000,0.299540,0.000000,0.000000,0.004939,0.000000,0.000571,0.000000,-0.015472,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,946684902.451904,1,-0.058248,0.017628,-9.803100,0.000000,0.013428,0.080569,3.744250,0.000000,0.299540,0.000000,0.000000,0.004755,0.000000,0.000626,0.000000,-0.015453,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,946684902.452178,1,-0.058248,-0.059012,-9.803100,-0.122074,0.013428,-0.041505,3.744250,0.000000,0.299540,0.000000,0.000000,0.004572,0.000000,0.000406,0.000000,-0.015464,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,946684902.452545,1,-0.058248,-0.059012,-9.803100,0.000000,-0.108646,-0.041505,3.744250,0.000000,0.299540,0.000000,0.000000,0.004345,0.000000,0.000218,0.000000,-0.015479,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,946684902.452758,1,-0.058248,-0.059012,-9.803100,0.000000,-0.047609,0.019532,3.744250,0.000000,0.299540,0.000000,0.000000,0.004148,0.000000,0.000031,0.000000,-0.015475,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,946684902.452972,1,-0.058248,0.017628,-9.803100,0.000000,-0.047609,0.019532,3.744250,0.000000,0.299540,0.000000,0.000000,0.003951,0.000000,0.000087,0.000000,-0.015471,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,946684902.453186,1,-0.058248,0.017628,-9.803100,-0.061037,0.013428,0.141606,3.744250,0.000000,0.299540,0.000000,0.000000,0.003767,0.000000,0.000130,0.000000,-0.015441,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
