ax,ay,az
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2060,2016,2572
2056,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2568
2056,2012,2568
2060,2016,2572
2060,2016,2568
2056,2016,2572
2060,2016,2568
2056,2016,2568
2056,2016,2568
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2576
2056,2016,2576
2056,2016,2576
2056,2016,2576
2056,2016,2576
2056,2016,2572
2056,2016,2576
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2568
2056,2012,2568
2056,2012,2568
2056,2012,2568
2056,2012,2568
2056,2016,2568
2056,2016,2568
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2568
2056,2016,2568
2056,2016,2568
2056,2012,2568
2056,2012,2568
2060,2016,2568
2060,2016,2568
2056,2016,2568
2060,2016,2568
2060,2012,2568
2060,2016,2568
2060,2016,2568
2060,2016,2568
2060,2016,2568
2060,2016,2568
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2056,2016,2572
2060,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2572
2056,2012,2568
2056,2012,2568
2056,2012,2568
2056,2016,2568
2056,2016,2568
2056,2016,2568
2056,2016,2568
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2020,2572
2056,2020,2572
2056,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2568
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2012,2572
2056,2016,2572
2060,2012,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2060,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2020,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2012,2572
2056,2012,2572
2056,2016,2572
2056,2016,2572
2056,2012,2572
2056,2012,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2568
2060,2016,2568
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2056,2012,2572
2060,2012,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2060,2016,2572
2060,2016,2572
2056,2016,2572
2060,2016,2576
2060,2016,2576
2060,2016,2576
2060,2016,2576
2060,2016,2576
2060,2016,2576
2060,2016,2576
2060,2020,2576
2060,2016,2576
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2576
2060,2016,2572
2060,2016,2576
2060,2016,2576
2060,2016,2576
2060,2016,2572
2060,2016,2572
2060,2020,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2060,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
2056,2016,2572
