cnt,flyState,setpoint.h [m],setpoint.pitch [deg],setpoint.roll [deg],setpoint.yaw [deg],motval_avg [frac],motval_0 [frac],motval_1 [frac],motval_2 [frac],motval_3 [frac],hor_velocities.xv,hor_velocities.yv,hor_velocities.dt,hor_velocities.seqNum,att.ts [s],att.ax [m/s^2],att.ay [m/s^2],att.az [m/s^2],att.gx [deg/s],att.filtered_gx [deg/s],att.gx_bias_kalman [deg/s],att.gy [deg/s],att.filtered_gy [deg/s],att.gy_bias_kalman [deg/s],att.gz [deg/s],att.hv [m/sec],att.h [m],att.pitch [deg],att.pitch_vel_kalman [deg/s],att.roll [deg],att.roll_vel_kalman [deg/s],att.yaw [deg],att.magx [deg],att.magy [deg],att.magz [deg],xPos [m],yPos [m],targetXVel [m/s],targetYVel [m/s],targetPitch [deg],targetRoll [deg],targetPitchVel [deg/s],targetRollVel [deg/s],adj_pitch,adj_roll,adj_yaw,adj_h
260,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.384643,-0.809325,1.125084,-9.519150,-10.814538,-10.349757,-0.040815,-3.479415,-4.167733,-0.293411,2.242500,0.012752,1.225360,-4.192669,-1.962221,5.267735,-5.478915,5.095013,-65.000000,95.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
261,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.389678,-0.809325,1.125084,-9.519150,-11.119724,-10.695767,-0.083051,-3.052156,-3.726865,-0.280411,1.815241,0.012752,1.225360,-4.219950,-2.071176,5.250797,-5.773974,5.104153,-65.000000,95.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
262,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.394653,-0.809325,1.125084,-9.519150,-11.363872,-10.980740,-0.125180,-2.563860,-3.279394,-0.267395,1.265908,0.012752,1.225360,-4.245310,-2.144720,5.232698,-6.065728,5.110451,-69.000000,95.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
263,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.399810,-0.809325,1.125084,-9.519150,-11.546983,-11.214581,-0.167161,-2.136601,-2.808008,-0.254334,0.716575,0.034004,1.227060,-4.268651,-2.183635,5.213643,-6.351106,5.114146,-69.000000,95.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
264,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.404815,-0.809325,1.048443,-9.519150,-11.546983,-11.400995,-0.198782,-1.709342,-2.363838,-0.241266,0.350352,0.034004,1.227060,-4.290057,-2.191914,5.185388,-6.637689,5.115900,-65.000000,93.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
265,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.409759,-0.809325,1.048443,-9.595791,-11.485946,-11.492550,-0.229310,-1.160008,-1.895754,-0.229009,-0.076907,0.034004,1.227060,-4.308722,-2.169178,5.155962,-6.910593,5.115519,-65.000000,93.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
266,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.414733,-0.809325,1.048443,-9.595791,-11.424909,-11.502856,-0.259786,-0.610675,-1.407458,-0.216652,-0.626240,0.034004,1.227060,-4.325296,-2.116991,5.126608,-7.164437,5.112404,-62.000000,90.000000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
267,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.419738,-0.809325,1.048443,-9.595791,-10.936613,-11.360170,-0.290023,-0.183416,-0.912558,-0.204179,-0.992462,0.034004,1.227060,-4.339751,-2.036866,5.097883,-7.390683,5.107437,-62.000000,90.000000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
268,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.424682,-0.809325,0.971803,-9.595791,-10.692465,-11.139936,-0.310238,0.365917,-0.397046,-0.191554,-1.236610,0.034004,1.227060,-4.352013,-1.929323,5.061900,-7.595908,5.101323,-66.000000,88.000000,24.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
269,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.429687,-0.809325,0.971803,-9.595791,-10.326242,-10.841755,-0.330324,0.793176,0.091251,-0.178806,-1.541795,0.034004,1.227060,-4.362176,-1.797905,5.027293,-7.767126,5.093606,-66.000000,88.000000,24.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
270,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.434692,-0.809325,0.971803,-9.595791,-10.021057,-10.495745,-0.350232,1.403546,0.593155,-0.165904,-1.846980,0.034004,1.227060,-4.370198,-1.643321,4.994252,-7.903494,5.084362,-63.000000,91.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
271,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.439819,-0.809325,0.971803,-9.672431,-9.532761,-10.146433,-0.369022,1.708732,1.071145,-0.153657,-1.846980,0.021249,1.227060,-4.375489,-1.467838,4.962002,-8.008021,5.074893,-63.000000,91.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
272,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.444854,-0.809325,0.971803,-9.672431,-9.044465,-9.736084,-0.387598,2.258065,1.542531,-0.141246,-1.908017,0.021249,1.227060,-4.378768,-1.274028,4.931598,-8.077974,5.065286,-64.000000,86.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
