cnt,flyState,setpoint.h [m],setpoint.pitch [deg],setpoint.roll [deg],setpoint.yaw [deg],motval_avg [frac],motval_0 [frac],motval_1 [frac],motval_2 [frac],motval_3 [frac],hor_velocities.xv,hor_velocities.yv,hor_velocities.dt,hor_velocities.seqNum,att.ts [s],att.ax [m/s^2],att.ay [m/s^2],att.az [m/s^2],att.gx [deg/s],att.gx_kalman [deg/s],att.gx_bias_kalman [deg/s],att.gy [deg/s],att.gy_kalman [deg/s],att.gy_bias_kalman [deg/s],att.gz [deg/s],att.hv [m/sec],att.h [m],att.pitch [deg],att.roll [deg],att.yaw [deg],xPos [m],yPos [m],targetXVel [m/s],targetYVel [m/s],targetPitch [deg],targetRoll [deg],adj_pitch,adj_roll,adj_yaw,adj_h
1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946691141.929931,-39.853123,39.699844,-48.743435,3.784295,0.000000,0.000000,4.455703,0.000000,0.000000,-0.549333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.289733,0.039855,0.591282,-10.059082,-2.685324,-2.685323,-0.000001,0.210883,0.210884,-0.000000,0.042421,10.234000,0.818720,-0.187116,-0.961675,0.037215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.290130,0.116495,0.591282,-10.059082,-2.807398,-2.807393,-0.000005,0.882290,0.882295,-0.000001,-0.018616,10.234000,0.818720,-0.186322,-0.960534,0.037208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.290374,0.193136,0.514642,-9.982441,-2.990509,-2.990499,-0.000010,1.553697,1.553707,-0.000002,0.164495,10.234000,0.818720,-0.185268,-0.959224,0.037248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.290588,0.193136,0.514642,-9.905801,-3.173620,-3.173604,-0.000016,2.286142,2.286157,-0.000004,0.286569,10.234000,0.818720,-0.184100,-0.957852,0.037309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.290771,0.269776,0.514642,-9.905801,-3.051546,-3.051523,-0.000023,3.079623,3.079646,-0.000008,0.408643,10.234000,0.818720,-0.182628,-0.956361,0.037384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.290985,0.269776,0.514642,-9.829160,-2.868435,-2.868403,-0.000032,3.751030,3.751062,-0.000012,0.469680,10.234000,0.818720,-0.180911,-0.954913,0.037484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.291168,0.346417,0.514642,-9.829160,-2.807398,-2.807356,-0.000042,4.361400,4.361442,-0.000017,0.652791,10.234000,0.818720,-0.178966,-0.953366,0.037604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.291351,0.346417,0.438001,-9.752520,-2.685324,-2.685272,-0.000051,4.971770,4.971822,-0.000023,0.591754,10.234000,0.818720,-0.176903,-0.952019,0.037712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632338,0.632338,0.032409,5,946691142.291534,0.346417,0.438001,-9.675879,-2.319102,-2.319040,-0.000062,5.582141,5.582203,-0.000030,0.530717,10.246751,0.819740,-0.174721,-0.950596,0.037809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632338,0.632338,0.032409,5,946691142.291748,0.423058,0.438001,-9.599238,-1.708732,-1.708657,-0.000074,5.948363,5.948437,-0.000039,0.103458,10.246751,0.819740,-0.172041,-0.949104,0.037831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632338,0.632338,0.032409,5,946691142.291931,0.346417,0.361360,-9.599238,-1.342509,-1.342424,-0.000086,6.314585,6.314671,-0.000047,-0.079653,10.246751,0.819740,-0.169719,-0.947730,0.037817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632338,0.632338,0.032409,5,946691142.292114,0.346417,0.361360,-9.522597,-1.037324,-1.037226,-0.000098,6.497696,6.497794,-0.000056,-0.384838,10.246751,0.819740,-0.167356,-0.946293,0.037746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632338,0.632338,0.032409,5,946691142.292449,0.269776,0.361360,-9.522597,-0.487991,-0.487879,-0.000112,6.802881,6.802993,-0.000064,-0.445875,10.246751,0.819740,-0.164145,-0.944829,0.037597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632338,0.632338,0.032409,5,946691142.292663,0.269776,0.361360,-9.445957,0.061342,0.061469,-0.000127,7.047029,7.047156,-0.000073,-0.384838,10.246751,0.819740,-0.161699,-0.943180,0.037515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632338,0.632338,0.032409,5,946691142.292846,0.193136,0.361360,-9.445957,0.549638,0.549781,-0.000143,7.352215,7.352358,-0.000080,-0.140690,10.246751,0.819740,-0.159659,-0.941445,0.037489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632338,0.632338,0.032409,5,946691142.293029,0.193136,0.361360,-9.445957,1.037934,1.038094,-0.000160,7.718437,7.718596,-0.000087,0.164495,10.246751,0.819740,-0.157553,-0.939621,0.037519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632076,0.632076,0.032409,5,946691142.293243,0.116495,0.284720,-9.522597,1.587267,1.587443,-0.000175,8.328806,8.328981,-0.000092,0.591754,0.008500,0.819400,-0.155323,-0.937898,0.037646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632076,0.632076,0.032409,5,946691142.293487,0.039855,0.284720,-9.522597,2.258675,2.258866,-0.000191,9.183325,9.183516,-0.000094,0.652791,0.008500,0.819400,-0.152878,-0.935964,0.037805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632076,0.632076,0.032409,5,946691142.294677,0.039855,0.284720,-9.599238,3.174230,3.174442,-0.000212,10.220954,10.221167,-0.000097,0.713828,0.008500,0.819400,-0.140516,-0.930810,0.038654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632076,0.632076,0.032409,5,946691142.294982,-0.036786,0.284720,-9.675879,3.967711,3.967946,-0.000234,11.502732,11.502967,-0.000097,0.408643,0.008500,0.819400,-0.137051,-0.928231,0.038779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632076,0.632076,0.032409,5,946691142.295227,-0.036786,0.284720,-9.752520,4.700155,4.700413,-0.000258,12.601398,12.601656,-0.000096,-0.018616,0.008500,0.819400,-0.134005,-0.925719,0.038774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632076,0.632076,0.032409,5,946691142.295959,-0.036786,0.284720,-9.752520,5.432600,5.432883,-0.000283,13.455916,13.456199,-0.000095,-0.690024,0.008500,0.819400,-0.124204,-0.920382,0.038269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632076,0.632076,0.032409,5,946691142.296203,-0.113427,0.284720,-9.829160,5.676748,5.677058,-0.000310,14.066286,14.066596,-0.000089,-1.361431,0.008500,0.819400,-0.121055,-0.917645,0.037937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632076,0.632076,0.032409,5,946691142.296508,-0.113427,0.361360,-9.905801,6.042970,6.043313,-0.000343,14.432509,14.432852,-0.000083,-1.971801,0.008500,0.819400,-0.116937,-0.914226,0.037336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631814,0.631814,0.032409,5,946691142.297119,-0.113427,0.361360,-9.905801,5.981933,5.982311,-0.000378,14.432509,14.432888,-0.000077,-2.276986,-0.008500,0.819060,-0.108405,-0.908995,0.035945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631814,0.631814,0.032409,5,946691142.297454,-0.036786,0.361360,-9.905801,5.676748,5.677163,-0.000415,14.249398,14.249814,-0.000076,-2.338023,-0.008500,0.819060,-0.103689,-0.905519,0.035161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631814,0.631814,0.032409,5,946691142.297760,-0.036786,0.438001,-9.905801,5.188452,5.188911,-0.000460,13.883175,13.883634,-0.000074,-1.666616,-0.008500,0.819060,-0.099501,-0.902126,0.034651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631814,0.631814,0.032409,5,946691142.298065,0.039855,0.438001,-9.905801,4.700155,4.700661,-0.000505,13.211768,13.212274,-0.000078,-0.995209,-0.008500,0.819060,-0.095300,-0.898888,0.034348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631814,0.631814,0.032409,5,946691142.298522,0.039855,0.438001,-9.905801,3.967711,3.968265,-0.000554,12.479324,12.479877,-0.000083,-0.140690,-0.008500,0.819060,-0.089428,-0.895270,0.034284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631814,0.631814,0.032409,5,946691142.298828,0.116495,0.438001,-9.905801,3.357341,3.357945,-0.000603,11.502732,11.503336,-0.000094,0.408643,-0.008500,0.819060,-0.085509,-0.892440,0.034409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631814,0.631814,0.032409,5,946691142.299102,0.193136,0.514642,-9.829160,2.685934,2.686595,-0.000662,10.465102,10.465764,-0.000112,0.713828,-0.008500,0.819060,-0.082006,-0.889656,0.034604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631814,0.631814,0.032409,5,946691142.299438,0.269776,0.514642,-9.829160,2.136601,2.137322,-0.000722,9.244362,9.245083,-0.000138,0.774865,-0.008500,0.819060,-0.078029,-0.886892,0.034865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.299713,0.346417,0.591282,-9.905801,1.648305,1.649095,-0.000790,8.084659,8.085449,-0.000171,0.225532,-0.008500,0.818720,-0.074711,-0.884172,0.034927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.300079,0.423058,0.591282,-9.905801,0.915860,0.916722,-0.000861,6.680807,6.681669,-0.000212,-0.445875,-0.008500,0.818720,-0.070939,-0.881570,0.034763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.300415,0.499698,0.667923,-9.905801,0.366527,0.367469,-0.000942,5.154882,5.155824,-0.000263,-1.300394,-0.008500,0.818720,-0.067648,-0.878948,0.034326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.300872,0.499698,0.667923,-9.905801,-0.426954,-0.425928,-0.001026,3.812067,3.813093,-0.000315,-1.666616,-0.008500,0.818720,-0.064347,-0.876644,0.033565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.301177,0.499698,0.744563,-9.905801,-1.403546,-1.402426,-0.001121,2.652364,2.653484,-0.000369,-1.971801,-0.008500,0.818720,-0.061980,-0.874340,0.032963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.301452,0.499698,0.744563,-9.905801,-2.380139,-2.378921,-0.001217,1.553697,1.554915,-0.000424,-1.666616,-0.008500,0.818720,-0.059996,-0.872263,0.032505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.301757,0.499698,0.744563,-9.829160,-3.356731,-3.355414,-0.001317,0.455031,0.456348,-0.000481,-0.995209,-0.008500,0.818720,-0.058288,-0.870537,0.032202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.631552,0.631552,0.032409,5,946691142.302062,0.423058,0.744563,-9.829160,-4.394360,-4.392941,-0.001419,-0.155339,-0.153920,-0.000531,-0.201727,-0.008500,0.818720,-0.057002,-0.869128,0.032140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.630502,0.630502,0.032409,5,946691142.302337,0.346417,0.744563,-9.829160,-5.187842,-5.186318,-0.001524,-0.338450,-0.336926,-0.000572,0.713828,-0.021249,0.817360,-0.055999,-0.867805,0.032336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.630502,0.630502,0.032409,5,946691142.302612,0.269776,0.744563,-9.829160,-6.286508,-6.284877,-0.001631,-0.277413,-0.275783,-0.000606,1.629383,-0.021249,0.817360,-0.055214,-0.866783,0.032784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.630502,0.630502,0.032409,5,946691142.302978,0.269776,0.744563,-9.829160,-7.324137,-7.322397,-0.001740,0.210883,0.212623,-0.000640,1.873531,-0.021249,0.817360,-0.054276,-0.866714,0.033470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.630502,0.630502,0.032409,5,946691142.303283,0.193136,0.744563,-9.905801,-7.629322,-7.627470,-0.001852,1.187475,1.189327,-0.000665,1.995605,-0.021249,0.817360,-0.053294,-0.866306,0.034079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.630502,0.630502,0.032409,5,946691142.303558,0.193136,0.667923,-9.905801,-7.812434,-7.810478,-0.001956,2.469253,2.471209,-0.000691,1.751457,-0.021249,0.817360,-0.051996,-0.865953,0.034560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.630502,0.630502,0.032409,5,946691142.303833,0.193136,0.667923,-9.905801,-7.934507,-7.932445,-0.002062,3.689993,3.692055,-0.000717,1.080050,-0.021249,0.817360,-0.050363,-0.865634,0.034857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.630502,0.630502,0.032409,5,946691142.304138,0.193136,0.591282,-9.982441,-8.056581,-8.054421,-0.002160,5.093845,5.096004,-0.000744,0.469680,-0.021249,0.817360,-0.048197,-0.865836,0.035001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.630502,0.630502,0.032409,5,946691142.305603,0.193136,0.591282,-9.982441,-7.873470,-7.871202,-0.002268,6.436659,6.438927,-0.000773,-0.018616,-0.021249,0.817360,-0.038156,-0.875100,0.034973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
